chr1	65564	70008	4444	OR4F5
chr1	450739	451678	939	OR4F29
chr1	685715	686654	939	OR4F16
chr1	924431	944153	19722	SAMD11
chr1	944693	959240	14547	NOC2L
chr1	960693	965191	4498	KLHL17
chr1	966531	974575	8044	PLEKHN1
chr1	976171	981029	4858	PERM1
chr1	999058	999973	915	HES4
chr1	1014004	1014478	474	ISG15
chr1	1020172	1054981	34809	AGRN
chr1	1071816	1072566	750	RNF223
chr1	1082892	1091543	8651	C1orf159
chr1	1179215	1197847	18632	TTLL10
chr1	1203590	1206571	2981	TNFRSF18
chr1	1211554	1214127	2573	TNFRSF4
chr1	1217511	1228772	11261	SDF4
chr1	1232278	1233268	990	B3GALT6
chr1	1242547	1246690	4143	C1QTNF12
chr1	1266289	1267992	1703	UBE2J2
chr1	1280661	1291610	10949	SCNN1D
chr1	1293563	1307815	14252	ACAP3
chr1	1308643	1311379	2736	PUSL1
chr1	1311858	1321953	10095	INTS11
chr1	1326910	1327763	853	CPTP
chr1	1331345	1334464	3119	TAS1R3
chr1	1336141	1349065	12924	DVL1
chr1	1353603	1358504	4901	MXRA8
chr1	1373800	1374756	956	AURKAIP1
chr1	1387230	1399306	12076	CCNL2
chr1	1402082	1407217	5135	MRPL20
chr1	1419099	1421005	1906	ANKRD65
chr1	1426127	1427787	1660	TMEM88B
chr1	1436958	1437459	501	VWA1
chr1	1450683	1468530	17847	ATAD3C
chr1	1471884	1495817	23933	ATAD3B
chr1	1512268	1534072	21804	ATAD3A
chr1	1535358	1540346	4988	TMEM240
chr1	1542065	1574557	32492	SSU72
chr1	1599334	1600015	681	FNDC10
chr1	1615630	1624805	9175	MIB2
chr1	1632218	1633120	902	MMP23B
chr1	1635763	1657485	21722	CDK11B
chr1	1660102	1676699	16597	SLC35E2B
chr1	1702906	1722818	19912	CDK11A
chr1	1752903	1765406	12503	NADK
chr1	1787330	1825453	38123	GNB1
chr1	1915280	1917193	1913	CALML6
chr1	1917881	1918556	675	TMEM52
chr1	1922286	1990956	68670	CFAP74
chr1	2019423	2030079	10656	GABRD
chr1	2050630	2185009	134379	PRKCZ
chr1	2185277	2194749	9472	FAAP20
chr1	2228766	2306765	77999	SKI
chr1	2321382	2391533	70151	MORN1
chr1	2395790	2402295	6505	RER1
chr1	2405765	2412502	6737	PEX10
chr1	2430514	2479804	49290	PLCH2
chr1	2508846	2526587	17741	PANK4
chr1	2529468	2530164	696	HES5
chr1	2556664	2560714	4050	TNFRSF14
chr1	2586795	2589427	2632	PRXL2B
chr1	2590989	2592678	1689	MMEL1
chr1	2641367	2800827	159460	TTC34
chr1	3021686	3022820	1134	ACTRT2
