. Sequence file : [Hominid_COL17A1.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-90537.61001	Yes        	4        	0.567    	0.200    	 0.26205   0.23970   0.24168   0.25657	-0.96197   0.15985   0.69588   0.10625  
      	     	          	           	          	           	             	                                      	 0.17476  -1.07037   0.18479   0.71083  
      	     	          	           	          	           	             	                                      	 0.75452   0.18327  -1.07532   0.13753  
      	     	          	           	          	           	             	                                      	 0.10852   0.66408   0.12955  -0.90215  
  #2	4   	-90040.01560	Yes        	4        	0.886    	0.199    	 0.25753   0.24203   0.24354   0.25690	-0.95455   0.16093   0.69288   0.10075  
      	     	          	           	          	           	             	                                      	 0.17124  -1.07144   0.19598   0.70422  
      	     	          	           	          	           	             	                                      	 0.73268   0.19476  -1.07647   0.14904  
      	     	          	           	          	           	             	                                      	 0.10100   0.66346   0.14129  -0.90575  
  #3	4   	-90700.81865	Yes        	4        	1.196    	0.202    	 0.25819   0.23865   0.24227   0.26090	-0.95684   0.16817   0.68159   0.10709  
      	     	          	           	          	           	             	                                      	 0.18193  -1.08479   0.18841   0.71445  
      	     	          	           	          	           	             	                                      	 0.72636   0.18559  -1.06671   0.15475  
      	     	          	           	          	           	             	                                      	 0.10598   0.65352   0.14371  -0.90320  
  #4	4   	-90544.50830	Yes        	4        	0.954    	0.200    	 0.25875   0.24148   0.24115   0.25862	-0.97499   0.16199   0.70620   0.10681  
      	     	          	           	          	           	             	                                      	 0.17357  -1.06046   0.20205   0.68484  
      	     	          	           	          	           	             	                                      	 0.75776   0.20233  -1.09921   0.13913  
      	     	          	           	          	           	             	                                      	 0.10686   0.63947   0.12973  -0.87606  
  #5	4   	-90236.10465	Yes        	4        	0.450    	0.180    	 0.26465   0.24119   0.24010   0.25407	-0.94320   0.16567   0.67023   0.10730  
      	     	          	           	          	           	             	                                      	 0.18179  -1.08824   0.17403   0.73241  
      	     	          	           	          	           	             	                                      	 0.73875   0.17482  -1.04585   0.13229  
      	     	          	           	          	           	             	                                      	 0.11177   0.69529   0.12502  -0.93207  
  #6	4   	-90077.78897	Yes        	4        	0.657    	0.200    	 0.26016   0.24019   0.23851   0.26114	-0.96867   0.14900   0.71095   0.10871  
      	     	          	           	          	           	             	                                      	 0.16139  -1.06205   0.17668   0.72397  
      	     	          	           	          	           	             	                                      	 0.77549   0.17792  -1.08618   0.13277  
      	     	          	           	          	           	             	                                      	 0.10830   0.66587   0.12126  -0.89544  
  #7	4   	-90563.31586	Yes        	4        	0.471    	0.180    	 0.26220   0.24257   0.24082   0.25441	-0.96546   0.16313   0.69873   0.10360  
      	     	          	           	          	           	             	                                      	 0.17633  -1.06288   0.16919   0.71737  
      	     	          	           	          	           	             	                                      	 0.76076   0.17042  -1.06325   0.13208  
      	     	          	           	          	           	             	                                      	 0.10677   0.68397   0.12502  -0.91577  
  #8	4   	-90855.25740	Yes        	4        	0.655    	0.200    	 0.25856   0.24147   0.24013   0.25984	-0.98001   0.15051   0.71513   0.11437  
      	     	          	           	          	           	             	                                      	 0.16117  -1.07026   0.19697   0.71212  
      	     	          	           	          	           	             	                                      	 0.77002   0.19807  -1.08091   0.11282  
      	     	          	           	          	           	             	                                      	 0.11380   0.66177   0.10426  -0.87983  
  #9	4   	-90524.57604	Yes        	4        	0.822    	0.198    	 0.26030   0.24148   0.23850   0.25973	-0.95426   0.15399   0.67394   0.12633  
      	     	          	           	          	           	             	                                      	 0.16599  -1.07528   0.18718   0.72210  
      	     	          	           	          	           	             	                                      	 0.73555   0.18952  -1.05939   0.13432  
      	     	          	           	          	           	             	                                      	 0.12661   0.67136   0.12334  -0.92131  
  #10	4   	-90478.62755	Yes        	4        	0.915    	0.199    	 0.26078   0.24252   0.24039   0.25631	-0.97504   0.16240   0.71147   0.10117  
      	     	          	           	          	           	             	                                      	 0.17462  -1.04402   0.19057   0.67883  
      	     	          	           	          	           	             	                                      	 0.77181   0.19226  -1.10919   0.14512  
      	     	          	           	          	           	             	                                      	 0.10293   0.64231   0.13610  -0.88134  
  #11	4   	-90794.22203	Yes        	4        	0.822    	0.199    	 0.25712   0.24017   0.24169   0.26103	-0.93261   0.13799   0.67866   0.11596  
      	     	          	           	          	           	             	                                      	 0.14774  -1.08637   0.19271   0.74592  
      	     	          	           	          	           	             	                                      	 0.72199   0.19150  -1.05739   0.14390  
      	     	          	           	          	           	             	                                      	 0.11422   0.68632   0.13324  -0.93378  
  #12	4   	-90206.16537	Yes        	4        	0.369    	0.180    	 0.25938   0.24015   0.24171   0.25876	-0.93424   0.15178   0.67468   0.10778  
      	     	          	           	          	           	             	                                      	 0.16393  -1.08806   0.19561   0.72852  
      	     	          	           	          	           	             	                                      	 0.72403   0.19435  -1.06627   0.14790  
      	     	          	           	          	           	             	                                      	 0.10804   0.67611   0.13815  -0.92230  
  #13	4   	-90266.41299	Yes        	4        	0.628    	0.200    	 0.26314   0.24033   0.23777   0.25875	-0.95599   0.15271   0.69160   0.11169  
      	     	          	           	          	           	             	                                      	 0.16720  -1.07227   0.19247   0.71261  
      	     	          	           	          	           	             	                                      	 0.76540   0.19454  -1.08998   0.13004  
      	     	          	           	          	           	             	                                      	 0.11358   0.66187   0.11950  -0.89494  
  #14	4   	-90481.00968	Yes        	4        	1.496    	0.203    	 0.26137   0.23668   0.24461   0.25734	-0.96685   0.16851   0.67662   0.12172  
      	     	          	           	          	           	             	                                      	 0.18609  -1.08837   0.16441   0.73786  
      	     	          	           	          	           	             	                                      	 0.72299   0.15909  -1.02000   0.13793  
      	     	          	           	          	           	             	                                      	 0.12363   0.67865   0.13110  -0.93338  
  #15	4   	-90623.28715	Yes        	4        	0.947    	0.200    	 0.25772   0.24076   0.24187   0.25964	-0.98797   0.17125   0.70720   0.10951  
      	     	          	           	          	           	             	                                      	 0.18332  -1.05339   0.17583   0.69424  
      	     	          	           	          	           	             	                                      	 0.75354   0.17502  -1.07698   0.14842  
      	     	          	           	          	           	             	                                      	 0.10870   0.64376   0.13826  -0.89072  
  #16	4   	-90354.67155	Yes        	4        	0.922    	0.199    	 0.25849   0.23992   0.24104   0.26056	-1.01527   0.15943   0.73409   0.12176  
      	     	          	           	          	           	             	                                      	 0.17177  -1.02835   0.18076   0.67582  
      	     	          	           	          	           	             	                                      	 0.78722   0.17992  -1.10013   0.13300  
      	     	          	           	          	           	             	                                      	 0.12079   0.62229   0.12303  -0.86611  
  #17	4   	-90663.27237	Yes        	4        	0.641    	0.200    	 0.25951   0.24037   0.24196   0.25816	-0.96335   0.16208   0.69627   0.10500  
      	     	          	           	          	           	             	                                      	 0.17498  -1.05568   0.17125   0.70945  
